 -- Frame 273 Framerate: 67.6 [Very Good Framerate]
 -- Frame 274 Framerate: 65.6 [Very Good Framerate]
 -- Frame 275 Framerate: 66.0 [Very Good Framerate]
 -- Frame 276 Framerate: 65.5 [Very Good Framerate]
 -- Frame 277 Framerate: 62.4 [Very Good Framerate]
 -- Frame 278 Framerate: 75.1 [Very Good Framerate]
 -- Frame 279 Framerate: 75.5 [Very Good Framerate]
 -- Frame 280 Framerate: 71.0 [Very Good Framerate]
 -- Frame 281 Framerate: 72.4 [Very Good Framerate]
 -- Frame 282 Framerate: 71.9 [Very Good Framerate]
 -- Frame 283 Framerate: 72.5 [Very Good Framerate]
 -- Frame 284 Framerate: 72.2 [Very Good Framerate]
 -- Frame 285 Framerate: 73.7 [Very Good Framerate]
 -- Frame 286 Framerate: 71.0 [Very Good Framerate]
 -- Frame 287 Framerate: 73.9 [Very Good Framerate]
 -- Frame 288 Framerate: 72.4 [Very Good Framerate]
 -- Frame 289 Framerate: 72.2 [Very Good Framerate]
 -- Frame 290 Framerate: 72.5 [Very Good Framerate]
 -- Frame 291 Framerate: 72.9 [Very Good Framerate]
 -- Frame 292 Framerate: 74.5 [Very Good Framerate]
 -- Frame 293 Framerate: 71.1 [Very Good Framerate]
 -- Frame 294 Framerate: 72.0 [Very Good Framerate]
 -- Frame 295 Framerate: 72.8 [Very Good Framerate]
 -- Frame 296 Framerate: 75.2 [Very Good Framerate]
 -- Frame 297 Framerate: 72.2 [Very Good Framerate]
 -- Frame 298 Framerate: 75.7 [Very Good Framerate]
 -- Frame 299 Framerate: 70.3 [Very Good Framerate]
 -- Frame 300 Framerate: 72.4 [Very Good Framerate]
 -- Frame 301 Framerate: 71.0 [Very Good Framerate]
 -- Frame 302 Framerate: 78.8 [Very Good Framerate]
 -- Frame 303 Framerate: 68.5 [Very Good Framerate]
 -- Frame 304 Framerate: 69.3 [Very Good Framerate]
 -- Frame 305 Framerate: 64.8 [Very Good Framerate]
 -- Frame 306 Framerate: 67.3 [Very Good Framerate]
 -- Frame 307 Framerate: 67.0 [Very Good Framerate]
 -- Frame 308 Framerate: 67.7 [Very Good Framerate]
 -- Frame 309 Framerate: 67.2 [Very Good Framerate]
 -- Frame 310 Framerate: 66.9 [Very Good Framerate]
 -- Frame 311 Framerate: 67.7 [Very Good Framerate]
 -- Frame 312 Framerate: 65.7 [Very Good Framerate]
 -- Frame 313 Framerate: 66.5 [Very Good Framerate]
